title,authors,abstract_url,source
Are AI Detectors Good Enough? A Survey on Quality of Datasets With Machine-Generated Texts,"German Gritsai, Anastasia Voznyuk, Andrey Grabovoy, Yury Chekhovich","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Gritsai,+G",arXiv
SudoLM: Learning Access Control of Parametric Knowledge with Authorization Alignment,"Qin Liu, Fei Wang, Chaowei Xiao, Muhao Chen","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Liu,+Q",arXiv
Enhancing Large Language Models' Situated Faithfulness to External Contexts,"Yukun Huang, Sanxing Chen, Hongyi Cai, Bhuwan Dhingra","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Huang,+Y",arXiv
BiGR: Harnessing Binary Latent Codes for Image Generation and Improved Visual Representation Capabilities,"Shaozhe Hao, Xuantong Liu, Xianbiao Qi, Shihao Zhao, Bojia Zi, Rong Xiao, Kai Han, Kwan-Yee K. Wong","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Hao,+S",arXiv
Decomposing The Dark Matter of Sparse Autoencoders,"Joshua Engels, Logan Riggs, Max Tegmark","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Engels,+J",arXiv
NaturalBench: Evaluating Vision-Language Models on Natural Adversarial Samples,"Baiqi Li, Zhiqiu Lin, Wenxuan Peng, Jean de Dieu Nyandwi, Daniel Jiang, Zixian Ma, Simran Khanuja, Ranjay Krishna, Graham Neubig, Deva Ramanan","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Li,+B",arXiv
MiCEval: Unveiling Multimodal Chain of Thought's Quality via Image Description and Reasoning Steps,"Xiongtao Zhou, Jie He, Lanyu Chen, jingyu li, Haojing Chen, Victor Gutierrez Basulto, Jeff Z. Pan, Hanjie Chen","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Zhou,+X",arXiv
Stochastic Gradient Descent Jittering for Inverse Problems: Alleviating the Accuracy-Robustness Tradeoff,"Peimeng Guan, Mark A. Davenport","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Guan,+P",arXiv
DiscoGraMS: Enhancing Movie Screen-Play Summarization using Movie Character-Aware Discourse Graph,"Maitreya Prafulla Chitale, Uday Bindal, Rajakrishnan Rajkumar, Rahul Mishra","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Chitale,+M+P",arXiv
Online Reinforcement Learning with Passive Memory,"Anay Pattanaik, Lav R. Varshney","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Pattanaik,+A",arXiv
A Large Language Model-Driven Reward Design Framework via Dynamic Feedback for Reinforcement Learning,"Shengjie Sun, Runze Liu, Jiafei Lyu, Jing-Wen Yang, Liangpeng Zhang, Xiu Li","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Sun,+S",arXiv
Harnessing Causality in Reinforcement Learning With Bagged Decision Times,"Daiqi Gao, Hsin-Yu Lai, Predrag Klasnja, Susan A. Murphy","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Gao,+D",arXiv
A subquadratic certification scheme for P5-free graphs,"Nicolas Bousquet, Sébastien Zeitoun","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Bousquet,+N",arXiv
Bridging the Training-Inference Gap in LLMs by Leveraging Self-Generated Tokens,"Zhepeng Cen, Yao Liu, Siliang Zeng, Pratik Chaudhar, Huzefa Rangwala, George Karypis, Rasool Fakoor","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Cen,+Z",arXiv
Real-time Fake News from Adversarial Feedback,"Sanxing Chen, Yukun Huang, Bhuwan Dhingra","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Chen,+S",arXiv
EvoPress: Towards Optimal Dynamic Model Compression via Evolutionary Search,"Oliver Sieberling, Denis Kuznedelev, Eldar Kurtic, Dan Alistarh","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Sieberling,+O",arXiv
On the feasibility of foundational models for the simulation of physical phenomena,"Alicia Tierz, Mikel M. Iparraguirre, Iciar Alfaro, David Gonzalez, Francisco Chinesta, Elias Cueto","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Tierz,+A",arXiv
Instance-Optimality in I/O-Efficient Sampling and Sequential Estimation,"Shyam Narayanan, Václav Rozhoň, Jakub Tětek, Mikkel Thorup","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Narayanan,+S",arXiv
Distance between Relevant Information Pieces Causes Bias in Long-Context LLMs,"Runchu Tian, Yanghao Li, Yuepeng Fu, Siyang Deng, Qinyu Luo, Cheng Qian, Shuo Wang, Xin Cong, Zhong Zhang, Yesai Wu, Yankai Lin, Huadong Wang, Xiaojiang Liu","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Tian,+R",arXiv
HR-Bandit: Human-AI Collaborated Linear Recourse Bandit,"Junyu Cao, Ruijiang Gao, Esmaeil Keyvanshokooh","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Cao,+J",arXiv
Convergence of Manifold Filter-Combine Networks,"David R. Johnson, Joyce Chew, Siddharth Viswanath, Edward De Brouwer, Deanna Needell, Smita Krishnaswamy, Michael Perlmutter","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Johnson,+D+R",arXiv
Bidirectional Dijkstra's Algorithm is Instance-Optimal,"Bernhard Haeupler, Richard Hladík, Vaclav Rozhon, Robert E. Tarjan, Jakub Tětek","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Haeupler,+B",arXiv
GenEOL: Harnessing the Generative Power of LLMs for Training-Free Sentence Embeddings,"Raghuveer Thirukovalluru, Bhuwan Dhingra","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Thirukovalluru,+R",arXiv
Parallel Backpropagation for Inverse of a Convolution with Application to Normalizing Flows,"Sandeep Nagar, Girish Varma","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Nagar,+S",arXiv
Swiss Army Knife: Synergizing Biases in Knowledge from Vision Foundation Models for Multi-Task Learning,"Yuxiang Lu, Shengcao Cao, Yu-Xiong Wang","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Lu,+Y",arXiv
Diverging Preferences: When do Annotators Disagree and do Models Know?,"Michael JQ Zhang, Zhilin Wang, Jena D. Hwang, Yi Dong, Olivier Delalleau, Yejin Choi, Eunsol Choi, Xiang Ren, Valentina Pyatkin","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Zhang,+M+J",arXiv
On the Regularization of Learnable Embeddings for Time Series Processing,"Luca Butera, Giovanni De Felice, Andrea Cini, Cesare Alippi","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Butera,+L",arXiv
SIMformer: Single-Layer Vanilla Transformer Can Learn Free-Space Trajectory Similarity,"Chuang Yang, Renhe Jiang, Xiaohang Xu, Chuan Xiao, Kaoru Sezaki","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Yang,+C",arXiv
